005              "005"
sprtjam           "Sports Jam"
sprtmtch          "Sports Match"
sprtshot          "Sports Shooting USA"
spset005          "S-Plus SET005 Set chip"
spset015          "S-Plus SET015 Set chip"
spset026          "S-Plus SET026 Set chip"
spss4240          "S-Plus Coral Reef"
spstn_l5          "Space Station"
spuzbobl          "Super Puzzle Bobble"
spuzboblj         "Super Puzzle Bobble"
spy               "S.P.Y. - Special Project Y"
spyhunt           "Spy Hunter"
spyhunt2          "Spy Hunter II"
spyhunt2a         "Spy Hunter II"
spyhuntp          "Spy Hunter"
spyhuntpr         "Spy Hunter"
spyhuntr          "Spy Hunter"
spyhuntsp         "Spy Hunter"
spyu              "S.P.Y. - Special Project Y"
sqbert            "Faster, Harder, More Challenging Q*bert"
sqix              "Super Qix"
sqixb1            "Super Qix"
sqixb2            "Super Qix"
sqixr0            "Super Qix"
sqixr1            "Super Qix"
sqixu             "Super Qix"
squaitsa          "Squash"
squash            "Squash"
squeenb           "Super Queen Bee"
sraider           "Space Raider"
srally2           "Sega Rally 2"
srally2dx         "Sega Rally 2 Deluxe"
srally2p          "Sega Rally 2"
srally2pa         "Sega Rally 2"
srallyc           "Sega Rally Championship - Twin/DX"
srallycb          "Sega Rally Championship - Twin/DX"
srallycc          "Sega Rally Championship - Twin/DX"
srallycdx         "Sega Rally Championship - DX"
srallycdxa        "Sega Rally Championship - DX"
sranger           "Super Ranger"
srangerb          "Super Ranger"
srangern          "Super Ranger"
srangero          "Super Ranger"
srangerw          "Super Ranger"
srdarwin          "Super Real Darwin"
srdarwinj         "Super Real Darwin"
srdmissn          "S.R.D. Mission"
srmdb             "Sunset Riders"
srmp1             "Super Real Mahjong Part 1"
srmp2             "Super Real Mahjong Part 2"
srmp3             "Super Real Mahjong Part 3"
srmp4             "Super Real Mahjong PIV"
srmp4o            "Super Real Mahjong PIV"
srmp5             "Super Real Mahjong P5"
srmp6             "Super Real Mahjong P6"
srmp7             "Super Real Mahjong P7"
srmvs             "Super Real Mahjong VS"
srmvsa            "Super Real Mahjong VS"
srockbwl          "Super Rock and Bowl"
srollnd           "Super Roller"
srumbler          "The Speed Rumbler"
srumbler2         "The Speed Rumbler"
srumbler3         "The Speed Rumbler"
sryudens          "Mahjong Seiryu Densetsu [BET]"
ss2001            "Super Shanghai 2001"
ss2005            "Super Shanghai 2005"
ss2005o           "Super Shanghai 2005"
ss_01             "Scared Stiff"
ss_03             "Scared Stiff"
ss_12             "Scared Stiff"
ss_14             "Scared Stiff"
ss_15             "Scared Stiff"
ssanchan          "Sanrin San Chan"
sscandal          "Seishun Scandal"
sscope            "Silent Scope"
sscope2           "Silent Scope 2 : Dark Silhouette"
sscope2b          "Silent Scope 2 : Fatal Judgement"
sscope2c          "Silent Scope 2 : Fatal Judgement"
sscopea           "Silent Scope"
sscopeb           "Silent Scope"
sscopec           "Silent Scope"
sscoped           "Silent Scope"
sscopefh          "Silent Scope Fortune Hunter"
sscopex           "Silent Scope EX"
ssf2              "Super Street Fighter II: The New Challengers"
ssf2a             "Super Street Fighter II: The New Challengers"
ssf2ar1           "Super Street Fighter II: The New Challengers"
ssf2h             "Super Street Fighter II: The New Challengers"
ssf2j             "Super Street Fighter II: The New Challengers"
ssf2jr1           "Super Street Fighter II: The New Challengers"
ssf2jr2           "Super Street Fighter II: The New Challengers"
ssf2mdb           "Super Street Fighter II - The New Challengers"
ssf2r1            "Super Street Fighter II: The New Challengers"
ssf2t             "Super Street Fighter II Turbo"
ssf2ta            "Super Street Fighter II Turbo"
ssf2tad           "Super Street Fighter II Turbo"
ssf2tb            "Super Street Fighter II: The Tournament Battle"
ssf2tba           "Super Street Fighter II: The Tournament Battle"
ssf2tbd           "Super Street Fighter II: The Tournament Battle"
ssf2tbh           "Super Street Fighter II: The Tournament Battle"
ssf2tbj           "Super Street Fighter II: The Tournament Battle"
ssf2tbj1          "Super Street Fighter II: The Tournament Battle"
ssf2tbr1          "Super Street Fighter II: The Tournament Battle"
ssf2tbu           "Super Street Fighter II: The Tournament Battle"
ssf2th            "Super Street Fighter II Turbo"
ssf2tu            "Super Street Fighter II Turbo"
ssf2tur1          "Super Street Fighter II Turbo"
ssf2u             "Super Street Fighter II: The New Challengers"
ssf2ud            "Super Street Fighter II: The New Challengers"
ssf2us2           "Super Street Fighter II: The New Challengers Super 2"
ssf2xj            "Super Street Fighter II X: Grand Master Challenge"
ssf2xjr1          "Super Street Fighter II X: Grand Master Challenge"
ssf2xjr1d         "Super Street Fighter II X: Grand Master Challenge"
ssf2xjr1r         "Super Street Fighter II X: Grand Master Challenge"
ssfindo           "See See Find Out"
sshangha          "Super Shanghai Dragon's Eye"
sshanghab         "Super Shanghai Dragon's Eye"
sshanghaj         "Super Shanghai Dragon's Eye"
sshanghak         "Super Shanghai Dragon's Eye"
sshootep          "Sharpshooter"
sshooter          "Sharpshooter"
sshooter11        "Sharpshooter"
sshooter12        "Sharpshooter"
sshooter17        "Sharpshooter"
sshootr2          "Sharp Shooter II"
sshot             "Super Shot"
sshtl_l3          "Space Shuttle"
sshtl_l7          "Space Shuttle"
sshtlzac          "Space Shuttle"
sshuttle          "Space Shuttle"
sshuttle1         "Space Shuttle"
ssi               "Super Space Invaders '91"
ssia              "Super Space Invaders '91"
ssib              "Super Space Invaders '91"
ssideki           "Super Sidekicks / Tokuten Ou"
ssideki2          "Super Sidekicks 2 - The World Championship / Tokuten Ou 2 - Real Fight Football"
ssideki3          "Super Sidekicks 3 - The Next Glory / Tokuten Ou 3 - Eikou e no Michi"
ssideki4          "The Ultimate 11 - The SNK Football Championship / Tokuten Ou - Honoo no Libero"
ssingles          "Swinging Singles"
ssipkr24          "SSI Poker"
ssipkr30          "SSI Poker"
ssipkr40          "SSI Poker"
ssjkrpkr          "Southern Systems Joker Poker"
sslam             "Super Slam"
sslama            "Super Slam"
sslamb            "Super Slam"
ssmissin          "S.S. Mission"
ssoldier          "Superior Soldiers"
ssonicbr          "SegaSonic Bros."
ssozumo           "Syusse Oozumou"
sspac2k1          "Super Space 2001"
sspacaho          "Space Attack / Head On"
sspaceat          "Space Attack"
sspaceat2         "Space Attack"
sspaceat3         "Space Attack"
sspaceatc         "Space Attack"
sspanic           "Same Same Panic"
sspeedr           "Super Speed Race"
sspiritj          "Scramble Spirits"
sspirits          "Scramble Spirits"
sspirtfc          "Scramble Spirits"
ssprint           "Super Sprint"
ssprint1          "Super Sprint"
ssprint3          "Super Sprint"
ssprintf          "Super Sprint"
ssprintg          "Super Sprint"
ssprintg1         "Super Sprint"
ssprints          "Super Sprint"
ssriders          "Sunset Riders"
ssriders2         "Sunset Riders 2"
ssridersabd       "Sunset Riders"
ssridersadd       "Sunset Riders"
ssridersb         "Sunset Riders"
ssriderseaa       "Sunset Riders"
ssridersebc       "Sunset Riders"
ssridersebd       "Sunset Riders"
ssridersjac       "Sunset Riders"
ssridersjad       "Sunset Riders"
ssridersjbd       "Sunset Riders"
ssridersuab       "Sunset Riders"
ssridersuac       "Sunset Riders"
ssridersubc       "Sunset Riders"
ssridersuda       "Sunset Riders"
ssrj              "Super Speed Race Junior"
sss               "Steep Slope Sliders"
sst               "Supersonic"
sstar             "Super Star"
sstar97           "Super Star 97 / Ming Xing 97"
sstarbtl          "Super Star Battle"
sstarcrs          "Super Star Crest"
sstingry          "Super Stingray"
sstrangr          "Space Stranger"
sstrangr2         "Space Stranger 2"
sstrike           "Super Strike Bowling"
sstriker          "Sorcer Striker"
sstrikerk         "Sorcer Striker"
sstrkfgt          "Sega Strike Fighter"
sstrkfgta         "Sega Strike Fighter"
ssvc_a26          "Secret Service"
ssvc_a42          "Secret Service"
ssvc_b26          "Secret Service"
st_game           "unknown MP-200 pinball game"
st_ohla           "Oh La La"
st_vulkn          "Vulkan"
stactics          "Space Tactics"
stadhero          "Stadium Hero"
stadhr96          "Stadium Hero '96"
stadhr96j         "Stadium Hero '96"
stadhr96j2        "Stadium Hero '96"
stadhr96u         "Stadium Hero '96"
stagger1          "Stagger I"
stakwin           "Stakes Winner / Stakes Winner - GI Kinzen  Seiha e no Michi"
stakwin2          "Stakes Winner 2"
stakwindev        "Stakes Winner / Stakes Winner - GI Kinzen  Seiha e no Michi"
star100           "Ming Xing 100"
staraudi          "Star Audition"
starblad          "Starblade"
starbladj         "Starblade"
starcas           "Star Castle"
starcas1          "Star Castle"
starcasc          "Star Castle"
starcase          "Star Castle"
starcasp          "Star Castle"
starcrus          "Star Cruiser"
stardrft          "Star Drifter"
stardrftu         "Star Drifter"
starfght          "Star Fighter"
starfgmc          "Starfighter"
starfigh          "Star Fighter"
starfir2          "Star Fire 2"
starfire          "Star Fire"
starfirea         "Star Fire"
starfirp          "Star Fire"
starfirpa         "Star Fire"
starforc          "Star Force"
starforca         "Star Force"
starforcb         "Star Force"
starforce         "Star Force"
stargate          "Stargate"
stargatp          "Stargate"
stargatp1         "Stargate"
stargatp2         "Stargate"
stargatp3         "Stargate"
stargatp4         "Stargate"
stargatp5         "Stargate"
starglad          "Star Gladiator Episode I: Final Crusade"
stargladj         "Star Gladiator Episode I: Final Crusade"
stargld2          "Star Gladiator 2: Nightmare of Bilstein"
stargod           "Star God"
stargoda          "Star God"
stargodb          "Star God"
stargrds          "Star Guards"
stargzr           "Stargazer"
starhawk          "Star Hawk"
starjack          "Star Jacker"
starjacks         "Star Jacker"
starlstr          "Vs. Star Luster"
starqst           "Star Quest"
starrace          "Star Race"
starridr          "Star Rider"
starrkr           "Star Raker"
stars             "Stars"
starseek          "Doki Doki Idol Star Seeker"
starshot          "Star Shooter"
starshp1          "Starship 1"
starshpp          "Starship 1"
starsldr          "Star Soldier: Vanishing Earth"
starspnr          "Starspinner"
starswep          "Star Sweep"
starswepj         "Star Sweep"
startrek          "Star Trek"
startrep          "Star Trek"
startrgn          "Star Trigon"
startrip          "Star Trip"
startrkd          "Star Trek"
startrks          "Star Trek"
startrp           "Starship Troopers"
startrp2          "Starship Troopers"
starw             "Star Wars"
starw1            "Star Wars"
starwarr          "Star Warrior"
starwars          "Star Wars"
starwars1         "Star Wars"
starwarso         "Star Wars"
starzan           "Super Tarzan"
statriv2          "Triv Two"
statriv2v         "Triv Two"
statriv4          "Triv Four"
statriv5se        "Triv Five Special Edition"
statsymb          "Status Symbols"
statusbj          "Status Black Jack"
stbsub            "Treasure Bonus"
stcc              "Sega Touring Car Championship"
stcca             "Sega Touring Car Championship"
stccb             "Sega Touring Car Championship"
stdragon          "Saint Dragon"
stdragona         "Saint Dragon"
stdragonb         "Saint Dragon"
stealsee          "Steal See"
steaser           "Strip Teaser"
steeltal          "Steel Talons"
steeltal1         "Steel Talons"
steeltalg         "Steel Talons"
steeltalp         "Steel Talons"
steelwkr          "Steel Worker"
steeplec          "Steeplechase [TTL]"
stellcas          "Stellar Castle"
stellecu          "Stelle e Cubi"
step3             "Stepping 3 Superior"
stepchmp          "Step Champ"
stepstag          "Stepping Stage Special"
stera             "Steraranger"
stest             "Speed Test"
stfight           "Street Fight"
stfighta          "Street Fight"
stfightgb         "Street Fight"
stg               "Strike Gunner S.T.G"
stinger           "Stinger"
stinger2          "Stinger"
stingray          "Stingray"
stisub            "Super Treasure Island"
stk_sprs          "Strikes and Spares"
stkclmns          "Stack Columns"
stkclmnsj         "Stack Columns"
stlforce          "Steel Force"
stlwr_l2          "Stellar Wars"
stmblade          "Storm Blade"
stmbladej         "Storm Blade"
stocker           "Stocker"
stoffy            "Super Toffy"
stoffyu           "Super Toffy"
stompin           "Stompin'"
stoneage          "Stoneage"
stonebal          "Stone Ball"
stonebal2         "Stone Ball"
stonebal2o        "Stone Ball"
stop              "Stop"
storm             "Storm"
storming          "Storming Party / Riku Kai Kuu Saizensen"
storminga         "Storming Party / Riku Kai Kuu Saizensen"
strahl            "Koutetsu Yousai Strahl"
strahlj           "Koutetsu Yousai Strahl"
strahlja          "Koutetsu Yousai Strahl"
strahljbl         "Koutetsu Yousai Strahl"
strain            "Super Train"
strapids          "Shooting the Rapids"
stratab           "Strata Bowling"
stratab1          "Strata Bowling"
stratabs          "Strata Bowling"
stratgys          "Strategy X"
stratgyx          "Strategy X"
stratof           "Raiga - Strato Fighter"
stratvox          "Stratovox"
stratvoxa         "Stratovox"
stratvoxb         "Stratovox"
strax_p7          "Star Trax"
streakng          "Streaking"
streaknga         "Streaking"
streetg           "Street Games"
streetg2          "Street Games II"
streetg2r5        "Street Games II"
streetgr3         "Street Games"
streetsm          "Street Smart"
streetsm1         "Street Smart"
streetsmj         "Street Smart"
streetsmw         "Street Smart"
stress            "Stress Busters"
strfbomb          "Strafe Bomb"
strfight          "Star Fighter"
strgchmp          "Steering Champ"
strhoop           "Street Hoop / Street Slam / Dunk Dream"
strider           "Strider"
strider2          "Strider 2"
strider2a         "Strider 2"
strider2u         "Strider 2"
striderj          "Strider Hiryu"
striderjr         "Strider Hiryu"
striderua         "Strider"
strideruc         "Strider"
strik_l4          "Strike Master"
strike            "Strike"
striker           "Striker"
strikext          "Striker Xtreme"
strikext_100      "Striker Xtreme"
striv             "Super Triv"
strivf            "Super Triv"
strkfgtr          "Strike Fighter"
strkfgtrj         "Strike Fighter"
strkforc          "Strike Force"
strknew           "Striker Xtreme"
strkzn            "Strike Zone"
strkzone          "Strike Zone Baseball"
strlink           "Strong Link"
strlinka          "Strong Link"
strlt_l1          "Star Light"
strngsci          "Strange Science"
strngscia         "Strange Science"
strngscig         "Strange Science"
strnskil          "Strength & Skill"
strongx           "Strong X"
strsphnx          "Star's Phoenix"
strsphnxf         "Star's Phoenix"
strtdriv          "Street Drivin'"
strtheat          "Street Heat"
strtheata         "Street Heat"
strvmstr          "Super Trivia Master"
strxt_fr          "Striker Xtreme"
strxt_gr          "Striker Xtreme"
strxt_it          "Striker Xtreme"
strxt_it_101      "Striker Xtreme"
strxt_sp          "Striker Xtreme"
strxt_uk          "Striker Xtreme"
sttng_g7          "Star Trek: The Next Generation"
sttng_l1          "Star Trek: The Next Generation"
sttng_l2          "Star Trek: The Next Generation"
sttng_l3          "Star Trek: The Next Generation"
sttng_l5          "Star Trek: The Next Generation"
sttng_l7          "Star Trek: The Next Generation"
sttng_p4          "Star Trek: The Next Generation"
sttng_p5          "Star Trek: The Next Generation"
sttng_p8          "Star Trek: The Next Generation"
sttng_s7          "Star Trek: The Next Generation SP1"
sttng_x7          "Star Trek: The Next Generation"
stunrun           "S.T.U.N. Runner"
stunrun0          "S.T.U.N. Runner"
stunrun2          "S.T.U.N. Runner"
stunrun2e         "S.T.U.N. Runner"
stunrun3          "S.T.U.N. Runner"
stunrun3e         "S.T.U.N. Runner"
stunrun4          "S.T.U.N. Runner"
stunrun5          "S.T.U.N. Runner"
stunrune          "S.T.U.N. Runner"
stunrunj          "S.T.U.N. Runner"
stunrunp          "S.T.U.N. Runner"
stuntair          "Stunt Air"
stuntcyc          "Stunt Cycle [TTL]"
stvbios           "ST-V Bios"
stwr_101          "Star Wars"
stwr_101g         "Star Wars"
stwr_102          "Star Wars"
stwr_102e         "Star Wars"
stwr_103          "Star Wars"
stwr_103_a104     "Star Wars"
stwr_104          "Star Wars"
stwr_106          "Star Wars"
stwr_106_a046     "Star Wars"
stwr_106_s105     "Star Wars"
styphp            "Stunt Typhoon Plus"
su2000            "SU2000"
sub               "Submarine"
subhunt           "Sub Hunter"
subhuntr          "Sub Hunter"
submar            "Submarine"
subroc3d          "Subroc-3D"
subs              "Subs"
sucasino          "Super Casino"
suchie2           "Idol Janshi Suchie-Pai II"
suchie2o          "Idol Janshi Suchie-Pai II"
suchie3           "Idol Janshi Suchie-Pai 3"
suchiesp          "Idol Janshi Suchie-Pai Special"
suhosong          "Su Ho Seong"
suikoenb          "Suiko Enbu / Outlaws of the Lost Dynasty"
sukuinuf          "Quiz and Variety Suku Suku Inufuku 2"
sultanw           "Sultan's Wish"
sumospin          "Sumo Spins"
sunaq             "SunA Quiz 6000 Academy"
sundance          "Sundance"
sunmonbb          "Sun & Moon - Bank Buster"
sunmoon           "Sun & Moon"
sunmoona          "Sun & Moon"
sunqndol          "Sun Queen - Dollar Storm"
supbtime          "Super Burger Time"
supbtimea         "Super Burger Time"
supbtimej         "Super Burger Time"
supcrash          "Super Crash"
supdrapo          "Super Draw Poker"
supdrapoa         "Super Draw Poker"
supdrapob         "Super Draw Poker"
supduck           "Super Duck"
super21           "Super Twenty One"
super21p          "Super 21"
super7            "Super Seven"
super9            "Super Nove"
super972          "Super 97-2"
super98           "Super 98"
superabc          "Super ABC"
superabco         "Super ABC"
superb2k          "Super Butterfly 2000"
superbar          "Super Bar"
superbik          "Superbike"
superbon          "Agent Super Bond"
superbug          "Super Bug"
superbwl          "Super Bowl"
superchs          "Super Chase - Criminal Termination"
superchsj         "Super Chase - Criminal Termination"
superchsp         "Super Chase - Criminal Termination"
superchsp2        "Super Chase - Criminal Termination"
superchsu         "Super Chase - Criminal Termination"
supercrd          "Super Card"
superdbl          "Super Double"
superdbz          "Super Dragon Ball Z"
superdix          "Super Dixieland"
superdq           "Super Don Quix-ote"
superdqa          "Super Don Quix-ote"
superdqs          "Super Don Quix-ote"
superg            "Super Galaxians' hack)"
supergm3          "Super Game III"
supergs           "Super Galaxians"
supergx           "Super GX"
superinv          "Super Invaders"
superman          "Superman"
supermanj         "Superman"
supermanu         "Superman"
supermap          "Superman"
superpac          "Super Pac-Man"
superpacm         "Super Pac-Man"
superspy          "The Super Spy"
superten          "Super Ten V8.3"
supertnk          "Super Tank"
supertr           "Super Triv Quiz I"
supertr2          "Super Triv II"
supertr3          "Super Triv III"
superwng          "Super Wing"
superx            "Super-X"
superxm           "Super-X"
supgoal           "Nerae! Super Goal"
supinvsion        "Super Invasion"
supjolly          "Super Jolly"
suplup            "Super Lup Lup Puzzle / Zhuan Zhuan Puzzle"
supmodel          "Super Model"
supmodl2          "Super Model II"
supnudg2          "Super Nudger II - P173"
suprball          "Super Ball"
suprbowl          "Super Bowl"
suprglob          "Super Glob"
suprgolf          "Super Crowns Golf"
suprgolfj         "Super Crowns Golf"
suprheli          "Super Heli"
suprleag          "Super League"
suprloco          "Super Locomotive"
suprlocoo         "Super Locomotive"
suprmatk          "Super Missile Attack"
suprmatkd         "Super Missile Attack"
suprmous          "Super Mouse"
suprmrio          "Vs. Super Mario Bros."
suprmrioa         "Vs. Super Mario Bros."
suprmriobl        "Vs. Super Mario Bros."
suprmriobl2       "Vs. Super Mario Bros."
suprnova          "Super Nova"
suprpick          "Super Picker"
suprpokr          "Super Poker"
suprpokra         "Super Poker"
suprpokrb         "Super Poker"
suprpool          "Super Pool"
suprridr          "Super Rider"
suprslam          "From TV Animation Slam Dunk - Super Slams"
suprstar          "Super Stars"
suprtrio          "Super Trio"
supstarf          "Super Star"
supxevs           "Vs. Super Xevious"
suratk            "Surprise Attack"
suratka           "Surprise Attack"
suratkj           "Surprise Attack"
sureshop          "Sure Shot"
sureshot          "Sure Shot"
surfnsaf          "Surf'n Safari"
surfplnt          "Surf Planet"
surfplnt30        "Surf Planet"
surfplnt40        "Surf Planet"
surpr5            "Surprise 5"
survarts          "Survival Arts"
survartsj         "Survival Arts"
survartsu         "Survival Arts"
survival          "Survival"
susanita          "Susanita"
sushibar          "Sushi Bar"
sushimar          "Itazura Daisuki! Sushimaru Kun"
susume            "Susume! Taisen Puzzle-Dama"
sutapper          "Tapper"
suzuk8h2          "Suzuka 8 Hours 2"
suzuk8h2j         "Suzuka 8 Hours 2"
suzuka8h          "Suzuka 8 Hours"
suzuka8hj         "Suzuka 8 Hours"
suzume            "Watashiha Suzumechan"
svc               "SNK vs. Capcom - SVC Chaos"
svcboot           "SNK vs. Capcom - SVC Chaos"
svcpcb            "SNK vs. Capcom - SVC Chaos"
svcpcba           "SNK vs. Capcom - SVC Chaos"
svcplus           "SNK vs. Capcom - SVC Chaos Plus"
svcplusa          "SNK vs. Capcom - SVC Chaos Plus"
svcsplus          "SNK vs. Capcom - SVC Chaos Super Plus"
svf               "Super Visual Football: European Sega Cup"
svfo              "Super Visual Football: European Sega Cup"
svg               "S.V.G. - Spectral vs Generation / Sheng Mo Shiji"
svghk             "S.V.G. - Spectral vs Generation / Sheng Mo Shiji"
svgpcb            "S.V.G. - Spectral vs Generation / Sheng Mo Shiji"
svgtw             "S.V.G. - Spectral vs Generation / Sheng Mo Shiji"
svolley           "Super Volleyball"
svolleybl         "Super Volleyball"
svolleyk          "Super Volleyball"
svolleyu          "Super Volleyball"
svolly91          "Super Volley '91"
svs               "Super Visual Soccer: Sega Cup"
swa               "Star Wars Arcade"
swaj              "Star Wars Arcade"
swarm             "Swarm"
swat              "SWAT"
swatpolc          "SWAT Police"
swcourt           "Super World Court"
swcourtb          "Super World Court"
swcourtj          "Super World Court"
swe1pb            "Pinball 2000: Star Wars Episode 1"
sweetgal          "Sweet Gal"
sweetl            "Sweet Life"
sweetl2           "Sweet Life 2"
sweetl2_2         "Sweet Life 2"
sweetl2_2a        "Sweet Life 2"
sweetl2_2b        "Sweet Life 2"
sweetl2_2c        "Sweet Life 2"
sweetl2_2d        "Sweet Life 2)"
sweetl2_3         "Sweet Life 2"
sweetl2_4         "Sweet Life 2"
sweetl_2          "Sweet Life"
sweetl_3          "Sweet Life"
sweetla           "Sweet Life"
sweetlb           "Sweet Life"
sweetlnd          "Sweet Land"
swh2ld            "Sweethearts II - Lucky Devil"
swhr2             "Sweethearts II"
swhr2a            "Sweethearts II"
swhr2a6           "Sweethearts II"
swhr2u            "Sweethearts II"
swhr2v            "Sweethearts II"
swimmer           "Swimmer"
swimmera          "Swimmer"
swimmerb          "Swimmer"
swinggal          "Swing Gal [BET]"
swingin           "Swingin In The Green"
swipeout          "Space Wipeout"
swisspkr          "Swiss Poker"
swracer           "Star Wars: Racer Arcade"
swrds_l1          "Swords of Fury"
swrds_l2          "Swords of Fury"
sws               "Super World Stadium"
sws2000           "Super World Stadium 2000"
sws2001           "Super World Stadium 2001"
sws92             "Super World Stadium '92"
sws92g            "Super World Stadium '92 Gekitouban"
sws93             "Super World Stadium '93"
sws95             "Super World Stadium '95"
sws96             "Super World Stadium '96"
sws97             "Super World Stadium '97"
sws98             "Super World Stadium '98"
sws99             "Super World Stadium '99"
swtht2nz          "Sweethearts II"
swtril41          "Star Wars Trilogy"
swtril43          "Star Wars Trilogy"
swtrilgy          "Star Wars Trilogy Arcade"
swtrilgya         "Star Wars Trilogy Arcade"
swtrilgyp         "Star Wars Trilogy Arcade"
sxevious          "Super Xevious"
sxeviousj         "Super Xevious"
sxyreac2          "Pachinko Sexy Reaction 2"
sxyreact          "Pachinko Sexy Reaction"
sys1test          "System 1 Test prom"
sys246            "System 246 BIOS"
sys256            "System 256 BIOS"
sys573            "System 573 BIOS"
syvalion          "Syvalion"
syvalionp         "Syvalion"
syvalionu         "Syvalion"
syvalionw         "Syvalion"
szaxxon           "Super Zaxxon"
szone_l2          "Strike Zone"
szone_l5          "Strike Zone"
t2_l2             "Terminator 2: Judgment Day"
t2_l3             "Terminator 2: Judgment Day"
t2_l4             "Terminator 2: Judgment Day"
t2_l6             "Terminator 2: Judgment Day"
t2_l8             "Terminator 2: Judgment Day"
t2_p2f            "Terminator 2: Judgment Day Profanity"
t3new             "Terminator 3: Rise of the Machines"
tabpkr            "Royal Poker V 1.85"
tacscan           "Tac/Scan"
tactcian          "Tactician"
tactcian2         "Tactician"
taf_h4            "The Addams Family"
taf_l1            "The Addams Family"
taf_l2            "The Addams Family"
taf_l3            "The Addams Family"
taf_l4            "The Addams Family"
taf_l5            "The Addams Family"
taf_l6            "The Addams Family"
taf_l7            "The Addams Family"
taf_p2            "The Addams Family"
tafg_h3           "The Addams Family Special Collectors Edition"
tafg_la2          "The Addams Family Special Collectors Edition"
tafg_la3          "The Addams Family Special Collectors Edition"
tafg_lx3          "The Addams Family Special Collectors Edition Gold"
tagteam           "Tag Team Wrestling"
tagteamp          "Tag-Team Wrestling"
tagteamp2         "Tag-Team Wrestling"
tagteampg         "Tag-Team Wrestling"
tahitim           "Tahiti Magic"
tahjong           "Tahjong Yakitori"
taiko10           "Taiko no Tatsujin 10"
taiko6            "Taiko no Tatsujin 6"
taiko7            "Taiko no Tatsujin 7"
taiko8            "Taiko no Tatsujin 8"
taiko9            "Taiko no Tatsujin 9"
tail2nos          "Tail to Nose - Great Championship"
tailg             "Tailgunner"
taitest           "Taito Test Fixture"
taitotz           "Type Zero BIOS"
taiwanmb          "Taiwan Mahjong [BET]"
tajmah            "Tajmahal"
take5             "Take 5 [TTL]"
takefive          "Take Five"
takeoff           "Take Off"
takoron           "Noukone Puzzle Takoron"
talbot            "Talbot"
tangtang          "Tang Tang"
tank              "Tank/Tank Cocktail [TTL]"
tank8             "Tank 8"
tank8a            "Tank 8"
tank8b            "Tank 8"
tank8c            "Tank 8"
tank8d            "Tank 8"
tankbatl          "Tank Battle"
tankbatt          "Tank Battalion"
tankbattb         "Tank Battalion"
tankbust          "Tank Busters"
tankfrce          "Tank Force"
tankfrce4         "Tank Force"
tankfrceb         "Tank Force"
tankfrcej         "Tank Force"
tankii            "Tank II [TTL]"
tantr             "Puzzle & Action: Tant-R"
tantrbl           "Puzzle & Action: Tant-R"
tantrbl2          "Puzzle & Action: Tant-R"
tantrbl3          "Puzzle & Action: Tant-R"
tantrbl4          "Puzzle & Action: Tant-R"
tantrkor          "Puzzle & Action: Tant-R"
taotaido          "Tao Taido"
taotaido3         "Tao Taido"
taotaidoa         "Tao Taido"
tapatune          "Tap a Tune"
tapper            "Tapper"
tappera           "Tapper"
tapperb           "Tapper"
tapperg           "Tapper"
targ              "Targ"
targc             "Targ"
targeth           "Target Hits"
targeth10         "Target Hits"
targetha          "Target Hits"
tarzan            "Tarzan Chuang Tian Guan"
tarzana           "Tarzan"
tarzanc           "Tarzan Chuang Tian Guan"
tatacot           "Tatacot"
tattack           "Time Attacker"
tattass           "Tattoo Assassins"
tattassa          "Tattoo Assassins"
taurs_l1          "Taurus"
taxi_l3           "Taxi"
taxi_l4           "Taxi"
taxi_lg1          "Taxi Germany"
taxi_lu1          "Taxi"
taxi_p5           "Taxi"
taxidriv          "Taxi Driver"
tazmani2          "Tazz-Mania"
tazmani3          "Tazz-Mania"
tazmania          "Tazz-Mania"
tazmaniet         "Tazz-Mania - El Trompa"
tazzmang          "Tazz-Mania"
tazzmang2         "Tazz-Mania"
tbasebal          "Taikyoku Base Ball"
tbeastw2          "Transformers Beast Wars II"
tblkkuzu          "The Block Kuzushi"
tbonusal          "Treasure Bonus"
tbowl             "Tecmo Bowl"
tbowla            "Tecmo Bowl"
tbowlj            "Tecmo Bowl"
tbowlp            "Tecmo Bowl"
tbyahhoo          "Twin Bee Yahhoo!"
tceptor           "Thunder Ceptor"
tceptor2          "3-D Thunder Ceptor II"
tcfboxa           "Triforce Firmware Update For Compact Flash Box"
tcl               "Taiwan Chess Legend"
tcobra2           "Twin Cobra II"
tcobra2u          "Twin Cobra II"
tdawg_l1          "Top Dawg"
tdbingo           "Trio de Bingo"
tdfever           "TouchDown Fever"
tdfever2          "TouchDown Fever 2"
tdfever2b         "TouchDown Fever 2"
tdfeverj          "TouchDown Fever"
tdoboon           "Taihou de Doboon"
tdpgal            "Triple Draw Poker"
tdragon           "Thunder Dragon"
tdragon1          "Thunder Dragon"
tdragon2          "Thunder Dragon 2"
tdragon2a         "Thunder Dragon 2"
tdragon3h         "Thunder Dragon 3"
tdragonb          "Thunder Dragon"
tdragonb2         "Thunder Dragon"
tduno             "Touch de Uno! / Unou Nouryoku Check Machine"
tduno2            "Touch de Uno! 2"
te0144            "Puzzle Bobble"
teamht            "Team Hat Trick"
teamqb            "John Elway's Team Quarterback"
teamqb2           "John Elway's Team Quarterback"
techbowl          "Technical Bowling"
technodr          "Techno Drive"
techromn          "Tech Romancer"
techromna         "Tech Romancer"
